text
"Cepat juga proses 🔥𝐊𝗨𝗦𝗨𝗠𝗔𝗧𝟎𝗧𝟎💥,ya secepat kilat"
𝐊𝐨𝐢𝐒𝐋𝐎𝐓🌈 jadi tempat gue numpang harapan di akhir bulan!
Bang bahas siklus bumi dong yg katanya jaman es di bumi itu ada fasenya
"Berarti dg kata lain,hewannya dulu yg muncul,trs bertelur gitu bang??"
𝐌𝐢𝐘𝐚𝟖𝟖🌈! Ayo main dan nikmati keseruannya! Nggak bakal nyesel coba!
"Komen 𝐊𝐨𝐢𝐒𝐋𝐎𝐓🌈 selalu punya gaya sendiri, khas banget!"
❤️
"Bang bahas tentang pohon lepidodendron dong, menarik kek nya"
Bang bahas idi amin dong presiden uganda yg kayak sumanto
"Ini kalo diajarin di sekolah, buat nobar trus diadakan games, bakal seru sih.<br><br>Coba next time, bikin versi lain taapi masih ada sangkut paut dgn materi pelajaran di sekolah (jenjang SD, SMP, SMA)<br><br>Semangat bikin kontennya!!"
Jd awal muncul mnusia kapan
𝐊𝐨𝐢𝐒𝐋𝐎𝐓🌈 beneran mendominasi komentar semua video!
"Bang kenapa hewan laut yang di dalam kok besar""?"
Penasaran peneliti ini bisa tau darimana ya ilmunya. Mereka bs mengetahui asal muasal suatu kehidupan awal di bumi
"Tiap hari gaspol di 𝐌𝐢𝐘𝐚𝟖𝟖🌈, w3de tanpa henti!"
𝐌𝐢𝐘𝐚𝟖𝟖🌈 kasih kesempatan buat siapa aja bisa ertepe tinggi!
"Nyoba ertepe di 𝐌𝐢𝐘𝐚𝟖𝟖🌈, langsung puas banget! Jangan sampai ketinggalan!"
"Fix! Baru coba main, langsung JP di 𝐌𝐢𝐘𝐚𝟖𝟖🌈!"
Berarti di periode beberapa milyar tahun sebelum ledakan kambrium di bumi itu cuma ada gitu2 doang gada 'kehidupan'?? Apa jgn2 di planet2 lain lgi di fase itu??
"udah pasti rekomendasi di menit <a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=427"">07:07</a> terimakasih banyak ×º°”˜`”°º×   🎀  𝒮𝒬𝒰𝒜𝒟𝟩𝟩𝟩  🎀   ×º°”`˜”°º×"
Bener gak sih T-rex bisa ngeluarin api dari mulutnya ?
𝐌𝐢𝐘𝐚𝟖𝟖🌈 bikin harimu lebih menyenangkan! Sensasi tak terlupakan ada di sini!
komen ke 500 🎉😂
𝐊𝐨𝐢𝐒𝐋𝐎𝐓🌈 hadir kayak hadiah random yang selalu pas!
"𝐌𝐢𝐘𝐚𝟖𝟖🌈 bikin hari makin seru, j3pe p4us! 𝐌𝐢𝐘𝐚𝟖𝟖🌈 selalu bikin penasaran!"
"Video Kali ini gabisa dibawa beberes, karna yg dikepala cuma muncul aerobik unaerobik aerobik spons ubur2 aerobik unaerobik es fotosintesis😅"
keren banget bang ditunggu era Mesozoikum bang
"Kalau lo mau bikin rekening tebel, langsung gas ke 𝐌𝐢𝐘𝐚𝟖𝟖🌈!"
𝐊𝐨𝐢𝐒𝐋𝐎𝐓🌈 tuh jodohnya tanggal tua!
Kenapa 𝐌𝐢𝐘𝐚𝟖𝟖🌈 tuh menarik ya? Padahal cuma satu nama!
"Fix! Baru coba bentar, langsung menang di 𝐌𝐢𝐘𝐚𝟖𝟖🌈!"
fokus ke usopp sama going merry
"mahluk hidup awal berupa spons dan ubur - ubur, pantas saja leluhur sponsbob suka sekali berburu ubur ubur, karena memang hiburan mereka selama ribuan tahun cuma itu doang, rupanya spongebob hanya mempertahankan tradisi leluhur"
👍
"Bwaang bahas penemuan fosil2 unik dong kayak Triassic Cuddle, dll 🥺"
"Baang, bahas tentang skisma donggg"
Saya pusing bacanya tapi saya bahagia saya makin penasaran saya mau tahu lebih banyak...njay.!! ...kompleks tapi seru weh...serasa kaya waktu tahu ada mahluk hidup dipermukaan wajah manusia😂😂 kita tahu ada tapi ada kejelasan bukti bahwa mereka ad itu something sekali...lanjut bang koy🎉
👍👍👍👍
Bang gue suka lu bukan dari sini tapi dari escape liat cara ngomong lu gini malah jadi aneh 😂😂
"Setelah ini, saya lebih penasaran manusia awal darimana?"
Menurut kalian apa tidak mungkin ras manusia modern bertahan 100rb tahun lagi? Atau malah keduluan kiamat
"Setelah dinosaurus dong, awal mula kemunculan manusia"
Lanjutkan bang asik pembahasan sejarah
Untung saya lulusan biologi masih aman penjelasannya😅
bang bahas chapri vs nigga
Emang gak ada obatnya sih ketagihan main 💃 ⚡ 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡
Emang gak ada duanya sih 💃 ⚡ 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡ini
Makin banyak rezeki aje kalo ngopi di 💃 ⚡ 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡ lagi pada bagus Semua game nya
Tergacor hanya di  💃 ⚡ 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡
"Bro, lo udah cobain 💃 ⚡ 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡? Dijamin nagih abis!"
Gak perlu pusing mikirin biaya sekolah anak kalo udah join 💃 ⚡ 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡
Baru seminggu main 💃 ⚡ 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡ gue udah bisa bayar asuransi!
"Bandar Bola Terpercaya 2025 Lengkap Pasaran Liga 1 indonesia 💃 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡ SALDO FREE HINGGA 2,5JT❤"
Emang gak ada yang se-legit 💃 ⚡ 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡sih
Gak perlu takut rugi kalo main di 💃 ⚡ 𝘽𝙀𝙍𝙇𝙄𝘼𝙉 33 ⚡
Seri Geologi Seru bangettttt!!! Lanjut era2 lainnya bang
Seri Geologi Seru bangettttt!!! Lanjut era2 lainnya bang
betul... asik dengerin sambil desain..
"Akhirnya dilanjut lagi, terima kasih bang Koi🔥😁"
Lanjutannya mungkin abis koi pulang dari Thailand
Mantap isi bang 😂.
di Al-Quran ga disebutin sejarah2 yg begini
Bro menjelaskan materi biologi lebih dari 1bab hanya dalam 15menitan... Dimana gw dulu belajar di sekolah harus menempuh 2-3mingguan 😂😂
di islam gada yg begini
"Ga penting , buat apa bahas yang belum tentu ada 😂"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=920"">15:20</a> telor dulu ? Apa ayam dulu?"
"Mas Koi, Bahas  Alien Mas Koi"
"Bang bahas mamalia, kelompok hewan yg pas zaman dinosaurus hanya jadi makhluk yg tak dominan tapi setelah dinosaurus punah jadi penguasa bumi"
"bang koy bahas pendidikan militer yg dipakai di dunia donk, pengen tau sejarahnya dan efeknya"
"Makhluk2 bersel tunggal yg hidup 2 miliar thn yg lalu, kalo lagi kumpul ngebahas masa depan mereka bakal gimana, mungkin mereka ngayal kalo berkembang bakal bahagia, eh gataunya jd manusia yg harus menjalani drama, masalah, dan penderitaan kehidupan wkwkwkkk 😭"
Bahas konflik india Pakistan bang
"Gara gara noh mahluk tetrapod, gw harus bayar pajak<br>Ngide banget anjim ke daratan, udah bener hidup di laut"
Zaman nabi adam pas kapan ya?
"brrti skrng era manusia, ledakan populasinya."
"Untungnya waktu kehidupan masih sel tunggal dan stagnan selama 1 miliar tahun, kondisi bumi stabil. Jadi terpikir mungkin aja sebenarnya di luasnya alam semesta ini ada planet yang sudah mencapai tahap ini, cuma karena planetnya jadi ga stabil baik karena faktor internal atau eksternal (mis. ditabrak asteroid) jadinya kehidupan di planet tersebut musnah. Mungkin ini yang dibilang teori ""The Great Filter"" yang jadi salah satu alasan belum ada interaksi antara manusia dengan kehidupan cerdas lainnya karena tidak seberuntung bumi.<br><br>Di sisi lain, pernah baca juga kalau makhluk hidup jadi fosil itu ga asal kekubur, harus dalam kondisi tertentu. Ini berati kemungkinan di masa lalu bisa jadi lebih banyak dan beragam spesies makhluk hidup yang ada, tapi kondisi mereka (tubuh, perilaku, lingkungan) tidak memenuhi syarat menjadi fosil."
Bang lanjut bangg
Old earth
Lalu manusia pertama di bumi itu berasal dari mana? Kalo menurut ilmu sains bang?
Atau menurut ilmuwan.
Mantep sekali kalau di dengerin jadi pengantar tidur dari dulu pake ini pasti jadi tidur enak
Bahas proses persebaran manusia dari jaman manusia pertama sampai sekarang bang. 🙏🙏🙏
"Kalo dibawa keranah agama, begini yah cerita Allah menyiapkan tempat tinggal untuk manusia (kholifah), panjang banget... Terimakasih Koi"
MAMAMAAAAARKETINHGGGG🎉
Asli ngebulll pala
"spongesbob lahir 700 juta tahun yg lalu <a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a>"
wah part 2 seriusan ada. ayo part 3🤣
"Bakteri yang memakan bakteri lain (endosimbiosis )memberikan bakteri yang dimakan perlindungan dan bakteri dimakan memberi energi berupa ATP dari glukosa yang dibakar pakai oksigen dari sinilah kehidupan multiseluler itu kebentuk mungkin setahuku seperti koloni bang dari sel membentuk jaringan, jaringan membentuk organ, lalu organ membentuk sistem organ dan yang terakhir sistem organ membentuk individu .<br>Kalo aku sendiri cukup suka bahas bumi era sebelum dinosaurus karena lebih banyak misteri untuk diungkap"
jadi kecoa kalajengking dan kelabang nenek moyangnya dari laut
Akhirnya di bahas juga 🤩
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=1061"">17:41</a> Bang koi, itu tulisan dipojok salah. Klip gambar videonya dinosaurus tapi tulisannya ""Liputan anak muda Korsel lebih pilih rebahan"" 😂"
"Bang gambar2nya dipilih2 lagi ya, ada yg ai soalnya"
"Lanjutin lagi bang koi, masih seru bahas hewan² sebelum dino😁"
😅😅😅😅😊😊😊😅😅😅😮 1
bang koi bahas serangga-serangganya lebih lanjut dong bangg
"Kayaknya emang di zaman dimana homo sapiens berkuasa, bumi mulai rusak"
Terjawab sudah duluan telor atau ayam. Walaupun bukan telor dari ayam 😂😂
Siapa sangka tradisi berburu ubur ubur udah ada sejak eon archean
"Seru banget bang koyy,jadi penasaran di era"" berikutnya"
MAKASIH BGT BG KOI UDH BUATIN 😭
Yang paling ajaib itu planet bumi sudah mengalami beberapa kali kepunahan massal tapi kehidupan tetap bertahan sampai sekarang
Hewan terbuat dari air
Masih penasaran di era paleozoic ada makhluk apa aja
Malam minggu cukup santai dengan situs 𝐓𝐈𝐌𝟏𝟑𝟖  terpercaya anti rungkad
Bang lanjutin yang begini dong bang seruu
"Bang, ada ga itu, penjelasan ilmiah nya tentang evolusi zaman Ledakan Kambrium. Kalau evolusi hewan besar (burung pemakan biji-bijian) jadi hewan besar lain (burung pemakan serangga) masih bisa dibayangin proses nya dan sebabnya. Kalau yang awalnya hewan2 laut yang kecil tiba-tiba jadi ikan dll. itu ada yg teorinya masuk akal ga bang? Kalau ada tolong dibahas dong detailnya, kayaknya bakal seru"
Bangsa NisNas...<br>asyik nih buat bahan tesis
Berarti telor dulu apa ayam dulu? 😅
"bro adalah RPAL dan RPUL nya yutub <a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>"
Bahas keadaan sebelum Big Bang dong Bang ...
"pantes spongebob suka nangkep ubur ubur, karena pas leluhur pertamanya lahir yg ada cuma ubur ubur yg bisa ditangkep"
MasyaAllah 🥺
"chanell ini harus di hapus karena menyebarkan misinformasi!!!!, dinosaurus dan evolusi tidak ada dalam kitab suci!!!"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=542"">9:02</a> pas pembahasan masuk ke ledakan kambrium jadi seru banget sampe videonya selesai😆"
"""cuma 65Juta tahun...."""
Lanjut lagii bangg seru 🎉
Bahas Pangea gasih
Kalo era jin di bumi kapan itu🤔
"Keren sekali! Berhasil meraih kemenangan yang sangat besar di 𝗗𝗢𝗥𝗔𝟳𝟳, saatnya untuk berlibur mewah ke tempat impian! ⚪"
𝗗𝗢𝗥𝗔𝟳𝟳adalah platform yang berkomitmen pada kepuasan pengguna. 🌯
Mantul! Main di 𝗗𝗢𝗥𝗔𝟳𝟳 bikin happy dan rezeki nomplok! ⚛
"𝗗𝗢𝗥𝗔𝟳𝟳bikin ketagihan, pengen main terus dan terus! 😭"
"Hari yang penuh kebahagiaan bersama 𝗗𝗢𝗥𝗔𝟳𝟳, rezeki datang menghampiri dengan sendirinya! 🆖"
"Keberuntungan besar bikin aku makin cinta sama 𝗗𝗢𝗥𝗔𝟳𝟳,hasilnya luar biasa! 🚜"
"Jangan tunggu lama-lama, langsung coba di 𝗗𝗢𝗥𝗔𝟳𝟳 dan rasakan sendiri jakpotnya! 🍾"
Hasil dari 𝗗𝗢𝗥𝗔𝟳𝟳 membuktikan saya bisa beralih dari pegawai harian jadi pemilik usaha. 🏚
"Di 𝗗𝗢𝗥𝗔𝟳𝟳 mendukung transformasi saya, dari karyawan biasa jadi bos perusahaan. 🚓"
"Di 𝗗𝗢𝗥𝗔𝟳𝟳 mendukung transformasi saya, dari tukang kayu jadi bos furniture. 🏆"
Seru bangett
Venus akan menjadi seperti bumi dalam 2 milyar tahun ke depan<br><br>dan Bumi akan menjadi seperti Mars dimasa mendatang
"Ibarat umur bumi 24 jam sejam terakhir baru ada dino dan 10 menit terakhir baru muncul manusia purba, dan apa yak 10 menit itu bikin bumi hampir ga layak buat kita tinggalin lagi😢"
Alam fikir ku semakin mewahana ke milyaran tahun silam
manteb by koyy
"Wah, bener-bener gacir! Coba main sekarang juga, pasti nggak bakal nyesel! 𝘿𝙊𝙍𝘼77 🫔"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=483"">8:03</a>  <a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=514"">8:34</a>  awal mula jamur penasaran gw dari bakteri saling makan tadi kah ?"
𝘿𝙊𝙍𝘼77menawarkan kesempatan untuk menguji kemampuan Anda. 🌶
"Langsung tarik semua kemenangan dari 𝘿𝙊𝙍𝘼77, buat liburan! ⏸"
"Hari yang penuh berkah dan kebahagiaan berkat 𝘿𝙊𝙍𝘼77, rezeki datang menghampiri tanpa permisi! 🎌"
"Rezeki hari ini luar biasa, berkat 𝘿𝙊𝙍𝘼77-semuanya jadi lebih mudah! ⛸"
"Berkat 𝘿𝙊𝙍𝘼77 saya melesat, dari penjual bakso ke pengusaha restoran. 🪕"
Kenapa hanya di bumi ya? Hoki bgt planet kita ini
"Kenapa binatang berakal ,bisa menghancurkan bumi ,sebab kalau gak ada akal bumi baik-baik saja"
main di situs cm88bets sudah pasti banyak untung dan bonus yang melimpah
yah pdhal nunggu pas masuk jaman Dino eh udh kelar ternyata🗿
brati telur sama ayam duluan telour ya bg?
Selalu ditunggu kontennya bang koi
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=700"">11:40</a> ngebul bre"
Kalo manusia ada diurutan berapa? <br><br>*(bertanya dengan nada ramah)
Gw lebih suka dunia di era sekarang bang 😂😂😂
THE POWER HOUSE OF CELL <b>BOOM</b> <br><br>buat yang ngerti memenya pasti tau 😂😂
"Mendingan bahas kyk gini bang bahas sejarah, jaman purba, artefak"" dll dripada isu ekonomi/ politikn trs bosen 😊"
"Buat yg penasaran lebih lanjut sama era Paleozoic yg dibahas di video ini, bisa nonton film dokumenter Walking With Monsters"
400 orang tercepat😂
Hal yang paling bikin  penasaran itu era di mana mengapa bumi mengevolisikan primata menjadi memiliki akal yang berdampak pada proses penghancuran bumi itu sendiri
Akhirnya zaman purba lagi
Bang bahas kenapa Indonesia bisa ada banyak suku dan budaya
"bayangin serangga segede itu.<br>kira2 kalo di masak , pasti puas.<br>mulai dari kalajengking dan belalang raksasa nya.<br>mantap itu bro"
"Ngikutin channel ini dari pas masih ratusan ribu subscriber, sampai sekarang 2 juta, makin kesini makin mataaangg!!"
Lanjutkan bang koy sampe masa sekarang 😂
bahas india vs pakistan tod
"Jgn d telan mentah2,,Awas, karangan barat buat menjauhkan kita dr agama l& tuhan"
Siapa tahu agama dan tuhanmu salah
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=410"">6:50</a> lah ini bukannya malah jadi simbiosis parasitisme yah"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=890"">14:50</a> kebayang gk tuh kecoa terbang setengah meter 😭😭😭"
bang koi bahas kaisar romawi lagi donggg
Langsung kepikiran<br>Manusia bener2 hidup singkat<br><br>Bumi aja dah berproses beratusan ribu atau milyaran tahun.<br><br>Kita paling numpang 100 tahun itu kalo nyampe.<br><br>Mari lakukan yang terbaik kawan untuk hidup yang kekal setelah mati. hidup di bumi ternyata sangat singkat.
APAKAH AKHIRNYA TERJAWAB JUGAAA???? JADI TELOR DULU BARU AYAM YAA BANGG KOI????
😂
Pusing dah kalo dipikirin 😅
"setelah nonton vidoe ini gw baru ingat, ternyata gw dulu pernah belajar ini di SMP. ngartinya baru sekarang."
mending banyakin bahas prasejarah aja bang koi sama bahas perdemitan juga banyakin
kalau semisal ga ada ledakan kabrium gimana ya 😂
Kita di bodok bidokin gak sih ama bule bele ituh.?
I LOVE YOU BANG
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=618"">10:18</a> saya melihat sesuatu yang tidak sinkron 🗿"
"Bahas synapsidanya bang, menarik tuh gimana reptil bisa menjadi mamalia👍"
Yang Serangga Kiri sendiri Kek Parasit Las Plagas bjir
Apakah mars 5 milyar tahun lagi akan dihuni mahkluk hidup seperti bumi? Hmm kepo gw
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=1052"">17:32</a> itu keterangan videonya ngebug kah? 🗿"
Apakah ini menjawab pertanyaan yg selama ini menjadi perdebatan kalau telur yg pertama kali muncul sebelum ayam ?
"Nah,dari sini kita tau kalau sebobrok apapun kelakuan kita dibumi,bumi bakal tetap baik² saja<br>Yg beda cuma bakal jadi lebih cocok dihuni makhluk apa atau layak huni atau tidak"
Ttp dinosaurus
"Topik-topik yang bikin otak ngebul tapi selalu penasaran dan excited bgt:<br>1. Prasejarah/sejarah<br>2. Astronomi<br><br>Lanjut bang koi, banyakin konten2 kek gini😊😊😊😊"
"Fav gw kalo soal paleo, dulu udah sempet searching sendiri & ngumpulin datanya sendiri wkwk ttp ae masih suka"
Absen 2 jam setelah diupload
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=1073"">17:53</a>  Ini dikepala lo apaan bg?"
Seruuuuuu❤
wah
"Terus manusia purba bagaimana terbentuknya, apakah hasil dr revolusi binatang di atas?"
"evolusi bang, klo revolusi itu perubahan mendadak"
Ketemu kecoa di zaman karbon be like :
"Bang Koi, Bahas Hujan 2Jt Tahun Dong, Itu Pembahasan menarik menurut saya"
Edukatif
ya memang cikal bakal kehidupan di bumi dari bakteri lalu ber evolusi
"Bentuk² dari kepunahan masal menurut saya emg rencana alam bang, disetiap zaman yang memiliki kehidupan selalu ada tombol restart nya. Sekarang kita manusia, yg sekarang paling terlihat jelas adalah global warming, suhu bumi meningkat, amit² karena ini kita musnah, bumi pasti recovery lagi ke dingin, kehidupan baru muncul, dan ulang dari awal."
lanjottt sampe era sekarang bangg
☄️: serius gua gak dianggap?
lu bilang ratusan juta tahun ya bang wkwkw
Apa bilang hewan yg pertama kali hidup itu sponge sama ubur² auto bayangin spongebob di laut sendirian tiap hari berburu ubur² weh 😅😂
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=771"">12:51</a> bilang aja beberapa jenis invertebrata seperti arthropoda bang, soalnya semua arthropoda itu invertebrata"
Waw jadi Spongebob adalah leluhur kita😂
Kali kali bahas luar angkasa dong bang jangan bumi terus
Baaaang...bahasss lautannn doonggg
"mending bikin playlist sendiri ga sih? tentang hewan"" pra sejarah atau kehidupan pra sejarah"
lu yang fobia serangga bayangin aja lu hidup di jaman ini wkwk
LANJJUUUUTTTTT
Gua jadi bingung eranya nabi Adam jatuh ke bumi berarti eranya apa dong?
unik banget bumi kita
Dengan proses yg begitu lama dn rumit bumi memperbaiki dri supaya bisa di huni dn munculah manusia penghuni trahir yg pembawa kehancuran
Intinya kita harus bersyukur kepada Tuhan YME yang sudah menciptakan Bumi ini sedemikian rupa
Asal muasal garam dong? 😅
"gua pernah denger katanya serangga and arthropoda dari luar angkasa siapa tau maau bahas koi kayaknya seru, apa mungkin itu cuma tori dari orang insect phobia ya wkwkwkw"
mantap langsung dilanjut
Yang Pernah <br>Nonton Walking With Monsters Nyimak
Bg konflik india pakistan
Laniut bang Koi kalo perlu sampe ke munculnya Homo sapiens😆
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=1060"">17:40</a> loh bang atas kiri kok tulisan ""liputan anak muda korsel lebih pilih rebahan di Korea now"""
Nyimak😊
"Keren banget! Menang banyak di WETON88,auto liburan mewah!"
Weton88 is the best ❤❤❤
Sehat selalu semuanya salam dari 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 gampang jepe
"Keren banget bang 😂 , Salam JePE ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=145"">2:25</a>  langsung di Weton88 bang 😹😹"
Semangat bang buat konten nya 😊Salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe
menurut gw sih situs adil yah di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 soalnya menang w di bayar cash gak pakek lama
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=3"">0:03</a> Keren boleh coba bang gas di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴"
coba buy spin 20k malah maxwin kwkwkkw makasih 🚩Weton88🚩 nyata emng
"Kerennn contentnya bang ,cari situs yang benar itu 𝗪𝗘𝗧𝗢𝗡𝟴𝟴"
Cair terus ini kakak mantap banget cuan di Weton88
coba buy spin 20k malah maxwin kwkwkkw makasih 🚩Weton88🚩 nyata emng
🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 tempat paling uhuy!
"🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 saya maen santai aja, tetep bisa WEDEY jutaan"
Akhirnya yg di tunggu2😁 𝗪𝗘𝗧𝗢𝗡𝟴𝟴
"gacir banget, main di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴"
"Terbaik ❤ memang kak , salam Weton88"
auto jepey! 𝗪𝗘𝗧𝗢𝗡𝟴𝟴
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=145"">2:25</a>  langsung di Weton88 bang 😹😹"
"Begitu mantap! Bermain di Weton88, rezeki pun mengalir dengan deras!"
"Maaf min mau tanya..nabi adam muncul pada priode carbon apa gimana min, kan tinggi nabi adam 30 meter"
30 meter itu informasi dari mana?
"nih saya kasih ilmu , main di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 !!🚩 gak usah pusing pola dll gas main dapat hasil wd dah gampang"
Busett cerahh banget 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 encess sama koinya lagi ngasih mulu
"Bang Koi, bahas juga Planet Theia, sodara Bumi (Gaia) yang pernah nabrak bumi terus dipercaya jadi asal muasal Bumi kita punya Bulan"
Sukaaa bangettt sama ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴
⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 emang top markotop! JP terus!
auto jepey! 𝗪𝗘𝗧𝗢𝗡𝟴𝟴
weton88 keren banget 😊
"Kerennn contentnya bang ,cari situs yang benar itu 𝗪𝗘𝗧𝗢𝗡𝟴𝟴"
🤑 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 🤑
Gak pernah kecewa nonton video kamu! Selalu bermanfaat dan seru! dp 5k di Weton88
Class bos🚩 𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 gak ribet depo cepat dan wd lancar
"Bandar Weton88☀ auto, sultan gacur"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=335"">05:35</a> ⚡️WETON88⚡️ tempat ngadu nasib wkwkw"
"Berkah rezeki hari ini berkat ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,puji syukur!"
"Salut bang keren kontennya , salam Jepe DI ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴"
Gw paling demen gas di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 wkwkwkww seru. Harus sering2 sih ini mah
"Gak pernah gagal,weton88🔥"
Geloo 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 Cair terus x100
"terimakasih selalu upload bg, walaupun masih sibuk🎉𝗪𝗘𝗧𝗢𝗡𝟴𝟴"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=335"">05:35</a> ⚡️WETON88⚡️ tempat ngadu nasib wkwkw"
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=518"">8:38</a> ""Pasti tatakrama belum ditemukan disini!"""
Lanjut bang...
Pembahasan sejarah kek gini selalu menarik untuk di tonton
"<a href=""https://www.youtube.com/watch?v=BK9hHv2iyhA&t=1056"">17:36</a>  salah headline tuh"
DULU.... DULUUU..... oksigen itu racun...... DUUULUUUUU...
"Bang Koi, Request Bahas Kuchisake-Onna"
Bumi di siapkan tuhan dengan proses yang lama ... sampai akhirnya manusia datang menikmati semua hasil proses itu dan mengjancurkan
Artinya manusia adalah hama yg diciptakan untuk menghancurkan bumi
Dulu waktu kuliah paleontologi sama paleontologi analisis ngafalinnya susah bener
Menarik ini lanjut bang koi
"Era Devon sungguh mengasyikkan, kapan lagi kita bisa merasakan seafood pada masa itu wah"
"agama belum ada,,,belum ada yg menuhankan tuhan,,,"
"bangg ditunggu bahas India Pakistan, sekalian masalah jet tempur bang"
Bahas perang-perangan dong
😂😂😂 jiol
Bahas india vs pakistan dong ngab koi..kok tambah panas dua negara
Salah satu ikan favorit gw Dunkleosteus sih yang hidup di Era Devon Akhir
Sungguh sungguh sangat menarik
paling penasaran sama era dimana manusia terbentuk .plisss ga usah bawa2 agama.
Kalau gitu berarti milyaran tahun kedepan mungkin planet lain akan berevolusi kaya bumi dan bumi akan berakhir disaat mereka berevolusi
"Masih penasaran sama ledakan kambrium, cikal bakal meningkatnya kehidupan di bawah air yg masih secara misterius, ilmu baru lagi setiap nonton SEPULANG SEKOLAH😁❤😁"
"mau nanya soal over oksigen menjadi binatangnya besar,. apakah sekarang binatang kecil karena oksigennya terus menurun, lalu apakah bentuk manusia dulu besar dan sekarang kecil jg dipengaruhi oksigen???"
Menurut ilmuwan manusia mengecil justru karna kekurangan makan!
"Tergantung jenis hewan sama makanannya bang, kalo semisal oksigen lebih banyak 10% aja dari kondisi sekarang menurut teori marga antropoda dan serangga si bakalan gedein tapi kalo kasusnya marga mamalia dengan pasokan makanan yang sama aja si ya bakal sama aja CIIW"
